Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C15, C16, C2, C3, C4, C5, C8",1206,10,100nF,
"C10, C12, C14, C7, C9",1206,5,22pF,
C6,1206,1,10uF,
"D1, D10, D11, D12, D13, D14, D2, D3, D4, D5, D6, D7, D9",LED_D3.0mm_FlatTop,13,EMERALD,
"D15, D16, D17, D18, D19, D20, D21, D22, D23, D24",1206,10,WHITE,
D8,1206,1,LED,
J1,PinSocket_1x04_P2.54mm_Vertical,1,VHF Active OLED,
J2,PinSocket_1x04_P2.54mm_Vertical,1,VHF Standby OLED,
J3,PinHeader_1x06_P2.54mm_Vertical,1,BootLoader,
J4,Barrel_Jack_5.5mmODx2.1mmID_PJ-102A,1,PJ-102A,PJ-102A
JP1,PinHeader_1x03_P2.54mm_Vertical,1,Power Selector,
P1,USB_B_OST_USB-B1HSxx_Horizontal,1,USB_C_Plug_USB2.0,
"R1, R18, R19, R2, R20, R21, R29, R3, R30, R31, R32, R33, R34, R4",1206,14,200,
"R10, R23, R24, R25, R26, R27, R28, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R5, R6, R7, R8, R9",1206,22,100,
"R11, R12, R13, R14, R15, R16",1206,6,4.7K,
"R17, R22",1206,2,10K,
R45,1206,1,220,
"R46, R47",1206,2,1K,
R48,1206,1,1.5K,
SW1,SW_TL3240F260R,1,VHF1_SW,C4364809
SW10,SW_TL3240F260R,1,VOR,C4364985
SW11,SW_TL3240F260R,1,ILS,C4364985
SW12,SW_TL3240F260R,1,MLS,C4364985
SW13,SW_TL3240F260R,1,ADF,C4364985
SW14,SW_TL3240F260R,1,BFO,C4364985
SW2,SW_TL3240F260R,1,VHF2_SW,C4364809
SW3,SW_TL3240F260R,1,VHF3_SW,C4364809
SW4,SW_TL3240F260R,1,XFER_SW,C4364985
SW6,SW_TL3240F260R,1,HF1,C4364809
SW7,SW_TL3240F260R,1,HF2,C4364809
SW8,SW_TL3240F260R,1,AM,C4364809
SW9,SW_TL3240F260R,1,NAV,C4364985
U1,EC11EBB24C03,1,ENCODER,
U2,TQFP100-0.5-14X14MM,1,ATMega2560,
U3,SOP65P640X120-24N,1,PCA9548APW,
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,
U5,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340G,
U6,SOT-223-3_TabPin2,1,AMS1117-5.0,
XT12MHZ1,Crystal_SMD_EuroQuartz_MJ-4Pin_5.0x3.2mm_HandSoldering,1,12MHz,
XT16MHZ1,Crystal_SMD_EuroQuartz_MJ-4Pin_5.0x3.2mm_HandSoldering,1,16MHz,
